id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
80,Crime,5,Groom service,1995,532169,3110,80
35,Comédie,13,Forrest Gump,1994,84673464,24,35
18,Drame,14,American Beauty,1999,44537075,39,18
12,Aventure,18,Le Cinquième Élément,1997,32990022,59,12
28,Action,24,Kill Bill : Volume 1,2003,22612380,138,28
37,Western,33,Impitoyable,1992,19894680,190,37
16,Animation,35,Les Simpson : Le Film,2007,65883606,197,16
878,Science-Fiction,62,2001 : l'odyssée de l'espace,1968,8587500,240,878
878,Science-Fiction,63,L'Armée des 12 singes,1995,21105000,280,878
80,Crime,66,Les pleins pouvoirs,1997,6258538,190,80
35,Comédie,68,Brazil,1985,,280,35
18,Drame,70,Million Dollar Baby,2004,27095455,190,18
18,Drame,73,American History X,1998,2984390,814,18
12,Aventure,74,La Guerre des Mondes,2005,73967422,488,12
35,Comédie,75,Mars Attacks!,1996,12671377,510,35
9648,Mystère,77,Memento,2000,4965387,525,9648
18,Drame,79,Hero,2002,22174304,607,18
12,Aventure,81,Nausicaä de la vallée du vent,1984,412680,608,12
12,Aventure,85,Les Aventuriers de l'arche perdue,1981,48740746,488,12
12,Aventure,87,Indiana Jones et le temple maudit,1984,41625000,488,12
12,Aventure,89,Indiana Jones et la dernière croisade,1989,59271475,488,12
28,Action,95,Armageddon,1998,69224945,865,28
28,Action,98,Gladiator,2000,57205053,578,28
80,Crime,101,Léon,1994,5660621,59,80
28,Action,111,Scarface,1983,8252916,1150,28
10749,Romance,114,Pretty Woman,1990,57875000,1201,10749
80,Crime,117,Les Incorruptibles,1987,9533806,1150,80
12,Aventure,120,Le Seigneur des anneaux : La Communauté de l'anneau,2001,108921045,108,12
12,Aventure,121,Le Seigneur des anneaux : Les Deux Tours,2002,115785925,108,12
12,Aventure,122,Le Seigneur des anneaux : Le Retour du roi,2003,139861122,108,12
12,Aventure,128,Princesse Mononoké,1997,19921913,608,12
16,Animation,129,Le voyage de Chihiro,2001,34365636,608,16
18,Drame,155,The Dark Knight : Le Chevalier noir,2008,125569805,525,18
53,Thriller,161,Ocean's Eleven,2001,56339643,1884,53
53,Thriller,163,Ocean's Twelve,2004,45343035,1884,53
18,Drame,166,La boum,1980,,1961,18
18,Drame,167,"K-Pax, l'homme qui vient de loin",2001,6289392,1978,18
35,Comédie,171,La Boum 2,1982,,1961,35
12,Aventure,175,Le Grand Bleu,1988,,59,12
35,Comédie,177,Fisher King : Le roi pêcheur,1991,5236936,280,35
28,Action,180,Minority Report,2002,44796615,488,28
80,Crime,184,Jackie Brown,1997,4959145,138,80
878,Science-Fiction,185,Orange mécanique,1971,3323625,240,878
18,Drame,192,Le nom de la rose,1986,9650000,2352,18
28,Action,197,Braveheart,1995,26250000,2461,28
12,Aventure,217,Indiana Jones et le royaume du crâne de cristal,2008,98329504,488,12
18,Drame,238,Le Parrain,1972,30633301,1776,18
80,Crime,247,L'Ultime Razzia,1956,,240,80
12,Aventure,253,Vivre et laisser mourir,1973,20222229,9915,12
12,Aventure,254,King Kong,2005,68814669,108,12
35,Comédie,255,Baisers volés,1968,,1650,35
18,Drame,266,Le Mépris,1963,66053,3776,18
18,Drame,269,À bout de souffle,1960,,3776,18
28,Action,272,Batman Begins,2005,46777334,525,28
18,Drame,278,Les Évadés,1994,3542683,4027,18
80,Crime,298,Ocean's 13,2007,38914078,1884,80
14,Fantastique,310,Bruce tout-puissant,2003,60571604,4499,14
53,Thriller,322,Mystic River,2003,19602752,190,53
12,Aventure,329,Jurassic Park,1993,115012500,488,12
12,Aventure,330,Le monde perdu : Jurassic Park,1997,77329874,488,12
18,Drame,337,Monsieur Ibrahim et les fleurs du Coran,2003,1447053,5005,18
9648,Mystère,345,Eyes Wide Shut,1999,20261401,240,9648
28,Action,364,"Batman, le défi",1992,35000000,510,28
80,Crime,388,Inside Man - L'homme de l'intérieur,2006,23224783,5281,80
28,Action,393,Kill Bill : Volume 2,2004,19019932,138,28
35,Comédie,397,French Kiss,1995,,8844,35
53,Thriller,402,Basic Instinct,1992,44115903,10491,53
18,Drame,404,Une Histoire vraie,1999,775380,5602,18
18,Drame,406,La Haine,1995,1912500,2406,18
18,Drame,423,Le Pianiste,2002,15009072,3556,18
18,Drame,424,La Liste de Schindler,1993,40170695,488,18
