idActeur,idFilm,salaire
1,87,213696.0
1,879,534240.0
1,253639,
2,2294,360316.0
2,16366,
2,140607,4012610.0
3,85,312624.0
3,87,486304.0
3,89,833664.0
3,217,3213080.0
3,2655,1736800.0
3,3525,486304.0
3,11092,382096.0
3,11860,1007344.0
3,18480,729456.0
3,49849,2830984.0
3,109443,868400.0
3,138103,1563120.0
3,140607,4255160.0
3,253639,
4,879,810040.0
4,2294,254584.0
4,140607,2835140.0
6,140607,1769390.0
6,404368,1263850.0
7,862,501360.0
7,863,1504080.0
7,920,2005440.0
7,9487,2005440.0
7,127380,3342400.0
8,863,355140.0
8,9487,473520.0
8,10193,789200.0
10,920,451920.0
10,10193,753200.0
10,127380,753200.0
13,35,772950.0
13,127380,2061200.0
13,309809,659584.0
18,9487,1069680.0
18,10022,499184.0
18,127380,1782800.0
18,404368,1559950.0
19,14,165900.0
19,2976,553000.0
19,10395,774200.0
19,127380,2212000.0
31,13,1879900.0
31,35,2563500.0
31,497,2050800.0
31,568,1777360.0
31,591,4272500.0
31,640,1777360.0
31,857,2392600.0
31,862,1025400.0
31,863,3076200.0
31,920,4101600.0
31,4147,2734400.0
31,5255,5639700.0
31,8358,3076200.0
31,9800,888680.0
31,10193,6836000.0
31,13448,5127000.0
31,59861,1025400.0
31,83542,3486360.0
31,253639,
31,296098,1367200.0
31,301528,5981500.0
31,363676,2050800.0
31,446354,1709000.0
31,501907,136720.0
32,13,1332870.0
32,2310,1696380.0
32,65754,2181060.0
32,141052,7270200.0
32,297762,3610866.0
33,13,509850.0
33,497,556200.0
33,568,482040.0
34,13,130900.0
34,6415,178500.0
35,13,297220.0
35,788,135100.0
40,3009,
40,4708,
40,21189,
48,120,3126102.0
48,121,2655506.0
48,122,3159716.0
48,710,1949612.0
48,8195,1848770.0
48,32657,3193330.0
48,50512,1176490.0
48,62764,2857190.0
48,286217,3630312.0
50,2011,47610.6
50,2385,
50,8892,
50,32390,
50,42741,
50,51447,
50,99770,397842.0
50,330764,55798.97
52,63,225498.0
52,497,458640.0
52,9631,382200.0
52,9802,573300.0
52,149509,
53,95,1508640.0
53,180,1099152.0
53,330,786648.0
53,4442,948288.0
53,8961,1400880.0
53,157834,91596.0
53,529983,
62,5,199704.0
62,18,4493340.0
62,63,1472817.0
