id,nom,pays,naissance,sexe
1,George Lucas,USA,1944-05-14,M
2,Mark Hamill,USA,1951-09-25,M
3,Harrison Ford,USA,1942-07-13,M
4,Carrie Fisher,USA,1956-10-21,F
6,Anthony Daniels,UK,1946-02-21,M
7,Andrew Stanton,USA,1965-12-03,M
8,Lee Unkrich,USA,1967-08-08,M
10,Bob Peterson,USA,1961-01-18,M
13,Albert Brooks,USA,1947-07-22,M
18,Brad Garrett,USA,1960-04-14,M
19,Allison Janney,USA,1959-11-19,F
24,Robert Zemeckis,USA,1951-05-14,M
31,Tom Hanks,USA,1956-07-09,M
32,Robin Wright,USA,1966-04-08,F
33,Gary Sinise,USA,1955-03-17,M
34,Mykelti Williamson,USA,1957-03-04,M
35,Sally Field,USA,1946-11-06,F
39,Sam Mendes,UK,1965-08-01,M
40,Orson Welles,USA,1915-05-06,M
48,Sean Bean,UK,1959-04-17,M
50,Catherine Deneuve,France,1943-10-22,F
52,David Morse,USA,1953-10-11,M
53,Peter Stormare,Sweden,1953-08-27,M
59,Luc Besson,France,1959-03-18,M
62,Bruce Willis,Germany,1955-03-19,M
63,Milla Jovovich,Ukraine,1975-12-17,F
64,Gary Oldman,UK,1958-03-21,M
65,Ian Holm,UK,1931-09-12,M
66,Chris Tucker,USA,1971-08-31,M
85,Johnny Depp,USA,1963-06-09,M
90,Isabel Coixet,Spain,1960-04-09,F
99,Amanda Plummer,USA,1957-03-23,F
103,Mark Ruffalo,USA,1967-11-22,M
108,Peter Jackson,New Zealand,1961-10-31,M
109,Elijah Wood,USA,1981-01-28,M
110,Viggo Mortensen,USA,1958-10-20,M
112,Cate Blanchett,Australia,1969-05-14,F
113,Christopher Lee,England,1922-05-27,M
114,Orlando Bloom,UK,1977-01-13,M
116,Keira Knightley,UK,1985-03-26,F
118,Geoffrey Rush,Australia,1951-07-06,M
130,Kenny Baker,UK,1934-08-24,M
133,Peter Sarsgaard,USA,1971-03-07,M
134,Jamie Foxx,USA,1967-12-13,M
138,Quentin Tarantino,USA,1963-03-27,M
139,Uma Thurman,USA,1970-04-29,F
140,Lucy Liu,USA,1968-12-02,F
141,David Carradine,USA,1936-12-08,M
147,Michael Madsen,USA,1957-09-25,M
150,RZA,USA,1969-07-05,M
169,Hanns Zischler,Germany,1947-06-18,M
190,Clint Eastwood,USA,1930-05-31,M
192,Morgan Freeman,USA,1937-06-01,M
193,Gene Hackman,USA,1930-01-30,M
194,Richard Harris,Ireland,1930-10-01,M
197,David Silverman,USA,1957-03-15,M
198,Dan Castellaneta,USA,1957-10-29,M
199,Julie Kavner,U.S.,1950-09-07,F
200,Nancy Cartwright,USA,1957-10-25,F
201,Michel Gondry,France,1963-05-08,M
204,Kate Winslet,UK,1975-10-05,F
205,Kirsten Dunst,USA,1982-04-30,F
206,Jim Carrey,Canada,1962-01-17,M
207,Tom Wilkinson,UK,1948-02-05,M
212,David Cross,USA,1964-04-04,M
223,Alejandro González Iñárritu,Mexico,1963-08-15,M
224,David Cronenberg,Canada,1943-03-15,M
227,William Hurt,USA,1950-03-20,M
228,Ed Harris,USA,1950-11-28,M
240,Stanley Kubrick,USA,1928-07-26,M
250,Margaret Tyzack,England,1931-09-09,F
280,Terry Gilliam,USA,1940-11-22,M
287,Brad Pitt,USA,1963-12-18,M
288,Jon Seda,USA,1970-10-14,M
290,Christopher Plummer,Canada,1929-12-13,M
323,Curtis Hanson,USA,1945-03-24,M
326,Kim Basinger,USA,1953-12-08,F
335,Michael Shannon,USA,1974-08-07,M
349,Scott Glenn,USA,1939-01-26,M
350,Laura Linney,USA,1964-02-05,F
351,Judy Davis,Australia,1955-04-23,F
352,Dennis Haysbert,USA,1954-06-02,M
357,Hany Abu-Assad,Israel,1961-10-11,M
