id,nom,pays,naissance,sexe,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
3110,Allison Anders,U.S,1954-11-16,F,5,Groom service,1995,532169,3110,80
24,Robert Zemeckis,USA,1951-05-14,M,13,Forrest Gump,1994,84673464,24,35
39,Sam Mendes,UK,1965-08-01,M,14,American Beauty,1999,44537075,39,18
59,Luc Besson,France,1959-03-18,M,18,Le Cinquième Élément,1997,32990022,59,12
138,Quentin Tarantino,USA,1963-03-27,M,24,Kill Bill : Volume 1,2003,22612380,138,28
190,Clint Eastwood,USA,1930-05-31,M,33,Impitoyable,1992,19894680,190,37
197,David Silverman,USA,1957-03-15,M,35,Les Simpson : Le Film,2007,65883606,197,16
240,Stanley Kubrick,USA,1928-07-26,M,62,2001 : l'odyssée de l'espace,1968,8587500,240,878
280,Terry Gilliam,USA,1940-11-22,M,63,L'Armée des 12 singes,1995,21105000,280,878
190,Clint Eastwood,USA,1930-05-31,M,66,Les pleins pouvoirs,1997,6258538,190,80
280,Terry Gilliam,USA,1940-11-22,M,68,Brazil,1985,,280,35
190,Clint Eastwood,USA,1930-05-31,M,70,Million Dollar Baby,2004,27095455,190,18
814,Tony Kaye,United Kingdom,1946-01-11,M,73,American History X,1998,2984390,814,18
488,Steven Spielberg,USA,1946-12-18,M,74,La Guerre des Mondes,2005,73967422,488,12
510,Tim Burton,USA,1958-08-25,M,75,Mars Attacks!,1996,12671377,510,35
525,Christopher Nolan,UK,1970-07-30,M,77,Memento,2000,4965387,525,9648
607,Zhang Yimou,China,1951-11-14,M,79,Hero,2002,22174304,607,18
608,Hayao Miyazaki,Japan,1941-01-05,M,81,Nausicaä de la vallée du vent,1984,412680,608,12
488,Steven Spielberg,USA,1946-12-18,M,85,Les Aventuriers de l'arche perdue,1981,48740746,488,12
488,Steven Spielberg,USA,1946-12-18,M,87,Indiana Jones et le temple maudit,1984,41625000,488,12
488,Steven Spielberg,USA,1946-12-18,M,89,Indiana Jones et la dernière croisade,1989,59271475,488,12
865,Michael Bay,USA,1965-02-17,M,95,Armageddon,1998,69224945,865,28
578,Ridley Scott,UK,1937-11-30,M,98,Gladiator,2000,57205053,578,28
59,Luc Besson,France,1959-03-18,M,101,Léon,1994,5660621,59,80
1150,Brian De Palma,USA,1940-09-11,M,111,Scarface,1983,8252916,1150,28
1201,Garry Marshall,USA,1934-11-13,M,114,Pretty Woman,1990,57875000,1201,10749
1150,Brian De Palma,USA,1940-09-11,M,117,Les Incorruptibles,1987,9533806,1150,80
108,Peter Jackson,New Zealand,1961-10-31,M,120,Le Seigneur des anneaux : La Communauté de l'anneau,2001,108921045,108,12
108,Peter Jackson,New Zealand,1961-10-31,M,121,Le Seigneur des anneaux : Les Deux Tours,2002,115785925,108,12
108,Peter Jackson,New Zealand,1961-10-31,M,122,Le Seigneur des anneaux : Le Retour du roi,2003,139861122,108,12
608,Hayao Miyazaki,Japan,1941-01-05,M,128,Princesse Mononoké,1997,19921913,608,12
608,Hayao Miyazaki,Japan,1941-01-05,M,129,Le voyage de Chihiro,2001,34365636,608,16
525,Christopher Nolan,UK,1970-07-30,M,155,The Dark Knight : Le Chevalier noir,2008,125569805,525,18
1884,Steven Soderbergh,USA,1963-01-14,M,161,Ocean's Eleven,2001,56339643,1884,53
1884,Steven Soderbergh,USA,1963-01-14,M,163,Ocean's Twelve,2004,45343035,1884,53
1961,Claude Pinoteau,,1925-05-25,M,166,La boum,1980,,1961,18
1978,Iain Softley,UK,1956-11-30,M,167,"K-Pax, l'homme qui vient de loin",2001,6289392,1978,18
1961,Claude Pinoteau,,1925-05-25,M,171,La Boum 2,1982,,1961,35
59,Luc Besson,France,1959-03-18,M,175,Le Grand Bleu,1988,,59,12
280,Terry Gilliam,USA,1940-11-22,M,177,Fisher King : Le roi pêcheur,1991,5236936,280,35
488,Steven Spielberg,USA,1946-12-18,M,180,Minority Report,2002,44796615,488,28
138,Quentin Tarantino,USA,1963-03-27,M,184,Jackie Brown,1997,4959145,138,80
240,Stanley Kubrick,USA,1928-07-26,M,185,Orange mécanique,1971,3323625,240,878
2352,Jean-Jacques Annaud,France,1943-10-01,M,192,Le nom de la rose,1986,9650000,2352,18
2461,Mel Gibson,USA,1956-01-03,M,197,Braveheart,1995,26250000,2461,28
488,Steven Spielberg,USA,1946-12-18,M,217,Indiana Jones et le royaume du crâne de cristal,2008,98329504,488,12
1776,Francis Ford Coppola,USA,1939-04-07,M,238,Le Parrain,1972,30633301,1776,18
240,Stanley Kubrick,USA,1928-07-26,M,247,L'Ultime Razzia,1956,,240,80
9915,Guy Hamilton,France,1922-09-16,M,253,Vivre et laisser mourir,1973,20222229,9915,12
108,Peter Jackson,New Zealand,1961-10-31,M,254,King Kong,2005,68814669,108,12
1650,François Truffaut,France,1932-02-06,M,255,Baisers volés,1968,,1650,35
3776,Jean-Luc Godard,France,1930-12-03,M,266,Le Mépris,1963,66053,3776,18
3776,Jean-Luc Godard,France,1930-12-03,M,269,À bout de souffle,1960,,3776,18
525,Christopher Nolan,UK,1970-07-30,M,272,Batman Begins,2005,46777334,525,28
4027,Frank Darabont,France,1959-01-28,M,278,Les Évadés,1994,3542683,4027,18
